name,statistics,logFC,ci95_l,ci95_u,pvalue,adjPvalue,mFPR,typeID,type
NALCN,7.12984923783561,1.01000387505979,0.711790282872368,1.30821746724722,1.42343799482922e-06,0.021987846706127,1.1481512803184e-05,H,rna
ZNF727,5.798572885142,1.53332353297256,0.976654039822422,2.0899930261227,1.90359029758806e-05,0.098015864422809,0.000152327758570969,H,rna
TRAK2,5.14335544603847,0.648435487193641,0.383033007055367,0.913837967331915,7.42021121577065e-05,0.124110394290886,0.000767898810364978,H,rna
SETBP1,5.12509341570509,0.632811243709967,0.372880803606374,0.89274168381356,7.712455047681e-05,0.124110394290886,0.000601607308505049,H,rna
PTCHD4,5.93499803654735,2.47853199178657,1.59939067663928,3.35767330693386,1.44358687989292e-05,0.098015864422809,0.000156671527917448,H,rna
MRTFB,4.84912491447386,0.539961022398644,0.305546895897135,0.774375148900152,0.000138845779048963,0.124110394290886,0.00124178996287216,H,rna
THRB,4.82798009666391,0.891048434191097,0.502521992063978,1.27957487631822,0.000145288393400355,0.124110394290886,0.00226980551586393,H,rna
RAB30,4.81948432010611,0.534924315401011,0.301268546189041,0.768580084612982,0.000147962123190886,0.124110394290886,0.00130666383418236,H,rna
ZNF676,5.05365244070125,1.55073467731671,0.904757954384244,2.19671140024918,8.97366691461538e-05,0.124110394290886,0.000842088184479117,H,rna
SF3B5,-4.79255890704051,-0.561176054398818,-0.807675764239958,-0.314676344557677,0.000156772188753384,0.124110394290886,0.00157192988370494,H,rna
SIPA1,-4.78352438748993,-0.493542101959191,-0.710742669019788,-0.276341534898594,0.000159846692926371,0.124110394290886,0.00183280498732574,H,rna
ZNF208,4.70326704095035,1.22813000232697,0.678425310079161,1.77783469457478,0.000190007129503648,0.124110394290886,0.199489988238449,H,rna
WDR83OS,-4.69046454560357,-0.523598880108535,-0.758598733998977,-0.288599026218093,0.000195328992830908,0.124110394290886,0.00190492494366417,H,rna
ZNF25,4.68037939717828,0.543431332481273,0.29900479441351,0.787857870549036,0.000199627981471523,0.124110394290886,0.00162313700460491,H,rna
EFR3A,4.60914046937065,0.390191488678144,0.211977172455996,0.568405804900292,0.000232868463196266,0.124110394290886,0.00474964003091071,H,rna
SNHG28,5.0154507928398,1.1634418795145,0.675105072030558,1.65177868699845,9.73280880766801e-05,0.124110394290886,0.00111918467329525,H,rna
KLHDC8B,-4.59657879729211,-0.834243180445524,-1.21631296769147,-0.452173393199576,0.000239289542831494,0.124110394290886,0.00350499931126987,H,rna
FAM200B,4.57526730213867,0.426566551450219,0.230296034347947,0.622837068552492,0.000250597850609645,0.124110394290886,0.00561503693429303,H,rna
QSOX1,-4.56378980104718,-0.66896106200932,-0.977535500230058,-0.360386623788581,0.000256911582454709,0.124110394290886,0.00183000288772262,H,rna
LMO3,5.00977609043588,2.7359646611498,1.58628484042796,3.88564448187164,9.8510542279519e-05,0.124110394290886,0.024074648120888,H,rna
RBM41,4.52600688798834,0.411389291939721,0.22004191483839,0.602736669041052,0.000278860877295543,0.124110394290886,0.00467250361775017,H,rna
BCAR1,-4.52046352035512,-0.389664027060991,-0.57112869838761,-0.208199355734373,0.000282237757940212,0.124110394290886,0.00489173127960091,H,rna
PPP2R2D,4.51604274045299,0.319556437379011,0.170594858093912,0.46851801666411,0.000284960528014138,0.124110394290886,0.00903389755436221,H,rna
RBAK,4.50162267485521,0.429513804564603,0.228654119362055,0.63037348976715,0.000294028673911608,0.124110394290886,0.00395449269081419,H,rna
RPL39,-4.49733502511634,-0.630152870776167,-0.925121220719483,-0.335184520832851,0.000296781088631391,0.124110394290886,0.00238426481478847,H,rna
